text,label
jam buka poliklinik apa?,operating_hours
tempat daftar apa?,registration_location
aplikasi rumah sakit,online_registration
lokasi pendaftaran rumah sakit apa?,registration_location
hari ini buka?,operating_hours
waktu buka rumah sakit,operating_hours
pasien bpjs bisa daftar,bpjs_acceptance
tempat daftar rumah sakit,registration_location
waktu operasional rs,operating_hours
rs punya gawat darurat apa?,emergency_services
asuransi bpjs,bpjs_acceptance
pendaftaran online rs,online_registration
dimana pendaftaran,registration_location
dimana daftar apa?,registration_location
bpjs berlaku,bpjs_acceptance
kapan poliklinik buka,operating_hours
jaminan diterima apa?,bpjs_acceptance
loket rumah sakit apa?,registration_location
rs bpjs?,bpjs_acceptance
dimana daftar rs,registration_location
apa bpjs?,bpjs_acceptance
poliklinik buka?,operating_hours
bpjs di rs apa?,bpjs_acceptance
tempat daftar rumah sakit apa?,registration_location
buka hari ini?,operating_hours
lokasi pendaftaran rumah sakit,registration_location
terima bpjs apa?,bpjs_acceptance
rs punya emergency apa?,emergency_services
bpjs berlaku apa?,bpjs_acceptance
loket pendaftaran rumah sakit apa?,registration_location
mendaftar poliklinik online,online_registration
bpjs diterima rumah sakit?,bpjs_acceptance
bpjs di rs,bpjs_acceptance
lokasi pendaftaran apa?,registration_location
bpjs berlaku?,bpjs_acceptance
emergency 24 jam apa?,emergency_services
ada gawat darurat?,emergency_services
apa rs punya gawat darurat,emergency_services
loket pendaftaran rs,registration_location
daftar online apa?,online_registration
daftar via mobile apa?,online_registration
rs terima bpjs,bpjs_acceptance
rumah sakit buka jam berapa,operating_hours
asuransi diterima,bpjs_acceptance
ugd ada,emergency_services
pendaftaran digital rumah sakit,online_registration
lokasi daftar rs apa?,registration_location
jaminan kesehatan apa?,bpjs_acceptance
bpjs bisa?,bpjs_acceptance
daftar online poliklinik,online_registration
lokasi daftar rs,registration_location
layanan gawat darurat,emergency_services
rs mendukung bpjs,bpjs_acceptance
pasien bpjs bisa daftar?,bpjs_acceptance
operasional apa?,operating_hours
gawat darurat tersedia,emergency_services
tempat daftar rs apa?,registration_location
